Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visita,Ganador
26,Audax Italiano,Cobresal,1,3,Visita
26,Palestino,Deportes Limache,1,1,Empate
26,Huachipato,Universidad de Chile,1,0,Local
26,Everton,Unión Española,0,0,Empate
26,Ñublense,Colo-Colo,1,1,Empate
27,Unión La Calera,Deportes Iquique,1,2,Visita
27,Deportes La Serena,Universidad Católica,0,1,Visita
27,Unión Española,Colo-Colo,1,2,Visita
27,Palestino,Coquimbo Unido,1,2,Visita
27,O'Higgins,Ñublense,4,2,Local
27,Huachipato,Audax Italiano,2,1,Local
27,Universidad de Chile,Deportes Limache,4,3,Local
27,Cobresal,Everton,1,2,Visita
28,Deportes Iquique,Cobresal,2,1,Local
28,Audax Italiano,Everton,2,0,Local
28,Deportes Limache,Unión Española,1,0,Local
28,Coquimbo Unido,Deportes La Serena,2,1,Local
28,Universidad Católica,Palestino,2,1,Local
28,O'Higgins,Universidad de Chile,0,1,Visita
28,Colo-Colo,Unión La Calera,4,1,Local
28,Ñublense,Huachipato,0,1,Visita
29,Cobresal,Colo-Colo,3,0,Local
29,Deportes La Serena,Palestino,0,3,Visita
29,Unión Española,O'Higgins,2,4,Visita
29,Everton,Deportes Iquique,0,1,Visita
29,Unión La Calera,Deportes Limache,0,1,Visita
29,Audax Italiano,Ñublense,1,0,Local
29,Universidad de Chile,Coquimbo Unido,1,1,Empate
29,Huachipato,Universidad Católica,0,0,Empate
30,Coquimbo Unido,Unión Española,1,0,Local
30,Deportes Limache,Deportes La Serena,1,0,Local
30,O'Higgins,Everton,1,0,Local
30,Colo-Colo,Audax Italiano,1,2,Visita
30,Ñublense,Cobresal,5,0,Local
30,Palestino,Huachipato,2,2,Empate
30,Universidad Católica,Unión La Calera,1,1,Empate
30,Deportes Iquique,Universidad de Chile,0,1,Visita
